iter,current_cost,best_cost,feasible
174,4362.244183,4048.004727,false
175,4362.244183,4048.004727,true
176,4362.244183,4048.004727,true
177,4362.244183,4048.004727,true
178,4362.244183,4048.004727,true
179,4362.244183,4048.004727,false
180,4362.244183,4048.004727,false
181,4362.244183,4048.004727,false
182,4362.244183,4048.004727,false
183,4362.244183,4048.004727,false
184,4362.244183,4048.004727,true
185,4105.477951,4048.004727,true
186,4054.398593,4048.004727,true
187,4027.372431,4027.372431,true
188,4027.372431,4027.372431,true
189,4027.372431,4027.372431,true
190,3997.619248,3997.619248,true
191,3997.619248,3997.619248,true
192,4072.680970,3997.619248,false
193,3997.619248,3997.619248,true
194,3997.619248,3997.619248,true
195,3992.076862,3992.076862,true
196,3991.610142,3991.610142,true
197,3991.610142,3991.610142,true
198,3991.610142,3991.610142,true
199,3991.610142,3991.610142,true
200,3991.610142,3991.610142,true
201,3991.610142,3991.610142,true
202,3993.672544,3991.610142,false
203,3993.672544,3991.610142,false
204,4137.467462,3991.610142,true
205,3912.483110,3991.610142,false
206,3912.483110,3991.610142,false
207,3912.483110,3991.610142,false
208,3912.483110,3991.610142,false
209,4353.617568,3991.610142,false
210,4169.609974,3991.610142,false
211,4169.609974,3991.610142,false
212,4210.177060,3991.610142,true
213,3928.719689,3928.719689,true
214,3844.390735,3844.390735,true
215,3844.390735,3844.390735,true
216,3872.692198,3844.390735,true
217,3793.666784,3793.666784,true
218,3793.666784,3793.666784,true
219,3777.144816,3777.144816,true
220,3777.144816,3777.144816,true
221,3777.144816,3777.144816,true
222,4004.942687,3777.144816,true
223,3915.502241,3777.144816,false
224,3861.500932,3777.144816,false
225,3856.947075,3777.144816,false
226,3979.075094,3777.144816,true
227,3948.499133,3777.144816,true
228,3926.652267,3777.144816,true
229,3904.703504,3777.144816,false
230,3832.835240,3777.144816,false
231,3832.835240,3777.144816,false
232,3832.835240,3777.144816,false
233,3832.835240,3777.144816,false
234,4155.297023,3777.144816,false
235,4155.297023,3777.144816,false
236,4155.297023,3777.144816,false
237,4155.297023,3777.144816,false
238,4032.922892,3777.144816,false
239,4032.922892,3777.144816,false
240,4032.922892,3777.144816,false
